test_str "french works"
temp_str "temporaire"

filenotf "ERR : Fichier de données manquant."
exit_penter "Appuyez sur Entrée pour quitter..."
continue_penter "Appuyez sur Entrée pour continuer..."

unfinished_str "Tu as atteins l'une des parties non terminées de ce programme. Merci d'avoir joué à ce jeu ! Si tu as rencontré un problème, n'hésite pas à le me faire savoir sur Github."

# Inventory
inventory_more "(Et plus...)"
item_Coin "Pièce"

# Room prompt
room_prompt_text "Ton choix : "
incorrect_input "Pardon ?"

# Rooms
menu_desc "Menu"
menu_c1 "Jouer"
menu_c2 "A propos"

house_title "Maison"
house_desc "Vous êtes chez vous. Les voisins sont assez calmes."
house_c1 "Prendre la voiture"
house_c2 "Tondre le gazon"

# Cutscenes
cs_about_1 "2020 Adrien Saad"
cs_about_2 "Swannsong Adventure est distribué sous licence GPL v3. Consultez le fichier COPYING pour plus d'informations."
cs_about_3 "Ce programme a été au départ compilé avec GNU GCC et testé avec la dernière version stable de Fedora disponible à ce moment-là."

cs_welcome_1 "Hej ! Donc tu veux jouer à Swannsong Adventure ? Saches que c'est un jeu qualitatif. Tu ne le regretteras pas."
cs_welcome_2 "Tu incarnes Vladimir Swann, un homme lambda qui veut absolument acquérir l'édition deluxe de la B.O de \"Tolstoi et ses frères\". Bref, j'espère que tu apprécieras ce jeu fait par un étudiant qui vient d'apprendre le C++."
