test_str "french works"
temp_str "temporaire"

filenotf "ERR : Fichier de données manquant."
exit_penter "Appuyez sur Entrée pour quitter..."
continue_penter "Appuyez sur Entrée pour continuer..."

menu_desc "Menu"
menu_c1 "Jouer"
menu_c2 "A propos"

cs_about_1 "2020 Adrien Saad"
cs_about_2 "Swannsong Adventure est distribué sous licence GPL v3. Consultez le fichier COPYING pour plus d'informations."
cs_about_3 "Ce programme a été compilé avec GNU GCC. La version Unix-like de ce programme utilise ncurses, qui est distribué sous la licence MIT X11. La version Windows de ce programme utilise PDCurses, qui est dans le domaine public."

cs_welcome_1 "Hej ! Donc tu veux jouer à Swannsong Adventure ? Saches que c'est un jeu qualitatif. Tu ne le regretteras pas."
cs_welcome_2 "Tu incarnes Vladimir Swann, un homme lambda qui veut absolument acquérir l'édition deluxe de la B.O de \"Tolstoï et ses frères\". Bref, j'espère que tu apprécieras ce jeu fait par un étudiant qui vient d'apprendre le C++."
