test_str "english works"
temp_str "temporary"

filenotf "ERR : Missing data file."
exit_penter "Press Enter to exit..."
continue_penter "Press Enter to continue..."

room_prompt_text "Your choice: "
incorrect_input "Eh?"

menu_desc "Menu"
menu_c1 "Play"
menu_c2 "About"

house_title "House"
house_desc "Well... That's your house. The neighbors are pretty quiet."

cs_about_1 "2020 Adrien Saad"
cs_about_2 "Swannsong Adventure is licensed under GPL v3. See the COPYING file for more information."
cs_about_3 "This program has been compiled with GNU GCC. The Unix-like version of this program uses ncurses, which is licensed under the MIT X11 license. The Windows version of this program uses PDCurses, which is in the public domain."

cs_welcome_1 "Hej ! So you wanna play Swannsong Adventure, huh ? Well, I'll let you know that this is a qualität game. You won't regret playing it."
cs_welcome_2 "You play as Vladimir Swann, a regular man who absolutely wants to get the deluxe edition of the soundtrack album of \"Tolstoi and his brothers\". Anyway, I hope that you will appreciate this game made by a student who just started to learn C++ (and who isn't a native english speaker)."
